,index,Feature,value_MI
246,1769,U17899,0.0932548383394447011
247,913,L13939,0.0929241687538064909
248,1650,U28686,0.0929119158403248768
249,1932,T77537,0.0921559579567585718
250,736,M69135,0.0919898175179723054
251,1380,R39209_,0.0919272998861750956
252,941,L27670,0.0917371803701736432
253,1075,M29065,0.0915877919355563286
254,1632,H66786,0.0913113276766441828
255,891,U31525,0.0901766069261737968
256,256,X61123,0.0901241859653088007
257,1785,M22050,0.0900046146763826549
258,1360,M19159,0.0899621839887909669
259,669,T67905,0.0899146061186322232
260,1509,X74262,0.0898319553506223833
261,298,T55248,0.0894739625328273558
262,527,R20804,0.0892627490151618463
263,460,M90104,0.0889923652770363560
264,481,D00761,0.0888553988805822481
265,852,H15813,0.0888156777214417215
266,1755,J00073,0.0887352970764201388
267,289,R52271,0.0886851696568731196
268,922,X55177,0.0885089553178199928
269,824,X80754,0.0883608217731020051
270,947,H45299,0.0883222916230919086
271,656,M27749,0.0880261494739886796
272,1095,X78817,0.0879801731763847350
273,1147,R47976,0.0878338911346914220
274,1984,M63239,0.0875949516311709253
275,1042,M86737,0.0874068092559967535
276,1412,R11485,0.0869840241557924276
277,1604,M88108,0.0868984242718051636
278,409,T61627,0.0868684139595370386
279,586,M80461,0.0867641947020918458
280,48,T61661,0.0864176550410360456
281,548,T49732,0.0862193542378963951
282,1,R39465,0.0861529555827882376
283,279,J05272,0.0861523289692585070
284,1459,H82100,0.0861474437532725457
285,660,T62972,0.0861331211583047374
286,20,H79852,0.0860239867537544445
287,1094,H04282,0.0858566984011068790
288,109,T61446,0.0858154280986760387
289,935,T54364,0.0847297165078710890
290,1897,X64229,0.0844286734648924675
291,1411,X61118,0.0842013611620286984
292,564,M64098,0.0840211650140905153
293,988,T90280,0.0839180041542884059
294,1265,Z17240,0.0838826627077815523
295,939,H87473,0.0832830001417999011
296,782,R01755,0.0830987517221324357
297,854,L37033,0.0829761560044357527
298,710,D49396,0.0829297674805675733
299,359,L09604,0.0825744262689647179
300,1163,L31881,0.0825363213209928670
301,1644,X59131,0.0817985079315013408
302,823,Z49269_,0.0816748109528462329
303,1950,X73882,0.0816464405924022252
304,1580,R60877,0.0816444936146487610
305,1449,J04977,0.0815525314970699799
306,197,T57630,0.0813574598598729715
307,1967,X04011,0.0811712164479478915
308,31,T62220,0.0810246336400748390
309,589,R15447,0.0809167938950132726
310,140,D21261,0.0808790180507861223
311,1915,T41204,0.0808616295253328232
312,907,H73758,0.0806928243162052805
313,184,T55558,0.0806243029765862929
314,1093,R33481,0.0803520153559764694
315,525,M95678,0.0802104214144472305
316,521,T88902,0.0801394350531385857
317,1677,R96070,0.0801314921515823286
318,1260,J03490,0.0799479374826088662
319,126,T51529,0.0798657839730358976
320,519,T95048,0.0798229504624603514
321,1199,H65355,0.0796993733227540080
322,1204,U09414,0.0796425305239760739
323,775,H87465,0.0794565605799415486
324,825,H22948,0.0792101224302776963
325,1261,J03239,0.0790979138503271617
326,664,R38513,0.0789199714048325340
327,1323,X70040,0.0788286971487222043
328,1577,T78624,0.0786780173110106507
329,92,T87873,0.0786760686704173207
330,678,X70944,0.0786411507631086248
331,905,R80703,0.0785986818994823810
