Feature,value_rfe
tqwt_kurtosisValue_dec_19,350
tqwt_entropy_shannon_dec_13,351
det_TKEO_mean_1_coef,352
tqwt_TKEO_mean_dec_24,353
mean_MFCC_9th_coef,354
tqwt_medianValue_dec_3,355
det_entropy_log_1_coef,356
std_5th_delta_delta,357
mean_MFCC_8th_coef,358
tqwt_meanValue_dec_6,359
tqwt_medianValue_dec_12,360
mean_7th_delta,361
IMF_SNR_entropy,362
tqwt_TKEO_mean_dec_21,363
tqwt_medianValue_dec_23,364
tqwt_TKEO_mean_dec_23,365
std_MFCC_5th_coef,366
mean_11th_delta_delta,367
tqwt_entropy_log_dec_34,368
tqwt_entropy_log_dec_30,369
GNE_SNR_TKEO,370
tqwt_meanValue_dec_24,371
tqwt_entropy_log_dec_28,372
tqwt_entropy_shannon_dec_2,373
tqwt_entropy_log_dec_11,374
det_LT_entropy_log_7_coef,375
mean_6th_delta,376
tqwt_maxValue_dec_24,377
tqwt_kurtosisValue_dec_34,378
tqwt_entropy_shannon_dec_9,379
meanHarmToNoiseHarmonicity,380
tqwt_energy_dec_16,381
tqwt_skewnessValue_dec_36,382
std_MFCC_11th_coef,383
tqwt_minValue_dec_36,384
mean_9th_delta_delta,385
tqwt_skewnessValue_dec_7,386
tqwt_skewnessValue_dec_31,387
mean_5th_delta_delta,388
tqwt_medianValue_dec_11,389
det_TKEO_std_6_coef,390
tqwt_entropy_log_dec_26,391
tqwt_entropy_shannon_dec_24,392
tqwt_kurtosisValue_dec_16,393
tqwt_kurtosisValue_dec_15,394
Ed_3_coef,395
tqwt_kurtosisValue_dec_1,396
app_TKEO_std_2_coef,397
tqwt_medianValue_dec_29,398
tqwt_maxValue_dec_10,399
mean_MFCC_0th_coef,400
VFER_NSR_TKEO,401
tqwt_TKEO_std_dec_18,402
tqwt_entropy_log_dec_20,403
tqwt_energy_dec_22,404
det_LT_entropy_shannon_7_coef,405
tqwt_entropy_shannon_dec_35,406
tqwt_skewnessValue_dec_16,407
Ed2_3_coef,408
tqwt_kurtosisValue_dec_3,409
tqwt_entropy_shannon_dec_22,410
tqwt_meanValue_dec_8,411
tqwt_kurtosisValue_dec_14,412
tqwt_TKEO_mean_dec_3,413
det_entropy_shannon_10_coef,414
tqwt_skewnessValue_dec_13,415
tqwt_medianValue_dec_15,416
tqwt_maxValue_dec_12,417
det_LT_entropy_log_5_coef,418
tqwt_entropy_log_dec_36,419
tqwt_maxValue_dec_33,420
Ed2_2_coef,421
tqwt_energy_dec_36,422
tqwt_TKEO_std_dec_26,423
tqwt_TKEO_std_dec_33,424
tqwt_skewnessValue_dec_19,425
app_LT_TKEO_std_5_coef,426
tqwt_kurtosisValue_dec_7,427
tqwt_meanValue_dec_30,428
app_TKEO_std_6_coef,429
tqwt_kurtosisValue_dec_13,430
app_LT_TKEO_mean_3_coef,431
tqwt_skewnessValue_dec_9,432
