Feature,rank_mi,rank_SHAP,rank_embed,value_min,value_med,value_mean,value_harmo
IMF_SNR_entropy,425,125,399,125,399.0,316.3333333333333,233.29588186737593
tqwt_entropy_shannon_dec_1,426,502,479,426,479.0,469.0,466.7711539513096
tqwt_stdValue_dec_27,427,543,700,427,543.0,556.6666666666666,534.5580719780515
tqwt_maxValue_dec_18,428,321,148,148,321.0,299.0,245.7310344827586
tqwt_entropy_log_dec_21,429,623,616,429,616.0,556.0,539.6153781441911
tqwt_TKEO_mean_dec_27,430,210,172,172,210.0,270.6666666666667,232.5321888412017
VFER_mean,431,461,359,359,431.0,417.0,412.3768969723599
tqwt_entropy_shannon_dec_26,432,126,114,114,126.0,224.0,157.7017383348582
tqwt_TKEO_mean_dec_20,433,428,362,362,428.0,407.6666666666667,404.94855997714313
tqwt_energy_dec_35,434,465,194,194,434.0,364.3333333333333,312.19676994067237
tqwt_medianValue_dec_35,435,346,130,130,346.0,303.6666666666667,232.89517536898904
tqwt_energy_dec_32,436,604,538,436,538.0,526.0,516.5339788835093
tqwt_minValue_dec_35,437,476,225,225,437.0,379.3333333333333,339.6118392886945
tqwt_kurtosisValue_dec_25,438,49,214,49,214.0,233.66666666666666,109.63243157224699
det_LT_TKEO_std_1_coef,439,444,282,282,439.0,388.3333333333333,371.45925635584626
RPDE,440,271,328,271,328.0,346.3333333333333,332.90630107136377
det_TKEO_std_5_coef,441,456,433,433,441.0,443.3333333333333,443.1298276327106
tqwt_TKEO_mean_dec_33,442,720,727,442,720.0,629.6666666666666,596.7954298056601
tqwt_TKEO_std_dec_22,443,736,670,443,670.0,616.3333333333334,587.2485658319429
tqwt_TKEO_std_dec_23,444,475,515,444,475.0,478.0,476.24619072326936
tqwt_medianValue_dec_15,445,419,277,277,419.0,380.3333333333333,363.90392523891273
det_LT_TKEO_mean_4_coef,446,204,350,204,350.0,333.3333333333333,299.96232149809725
IMF_NSR_entropy,447,527,528,447,527.0,500.6666666666667,497.627224971694
mean_Log_energy,448,343,480,343,448.0,423.6666666666667,414.8845023099538
tqwt_meanValue_dec_14,449,512,472,449,472.0,477.6666666666667,476.27056826827413
std_MFCC_8th_coef,450,207,349,207,349.0,335.3333333333333,302.4660172495604
app_TKEO_std_4_coef,451,229,416,229,416.0,365.3333333333333,333.7801061220896
det_LT_entropy_log_1_coef,452,77,54,54,77.0,194.33333333333334,88.9734574719899
GNE_std,453,264,171,171,264.0,296.0,253.306974843001
tqwt_entropy_shannon_dec_29,454,359,496,359,454.0,436.3333333333333,428.3090877623032
tqwt_kurtosisValue_dec_15,455,318,419,318,419.0,397.3333333333333,388.14395499565705
tqwt_entropy_shannon_dec_20,456,490,514,456,490.0,486.6666666666667,485.4899927291583
Ed_9_coef,457,485,439,439,457.0,460.3333333333333,459.5627795454224
tqwt_TKEO_std_dec_1,458,717,652,458,652.0,609.0,586.8718430386501
tqwt_TKEO_mean_dec_35,459,718,654,459,654.0,610.3333333333334,588.1823709202052
det_LT_entropy_log_2_coef,460,361,270,270,361.0,363.6666666666667,346.9130580558636
tqwt_maxValue_dec_22,461,165,111,111,165.0,245.66666666666666,174.02590844446277
mean_7th_delta_delta,462,44,344,44,344.0,283.3333333333333,107.91851516523313
mean_11th_delta_delta,463,90,373,90,373.0,308.6666666666667,188.06533058534555
VFER_SNR_TKEO,464,328,14,14,328.0,268.6666666666667,39.14786869181774
GNE_NSR_SEO,465,89,342,89,342.0,298.6666666666667,183.93094306766642
tqwt_maxValue_dec_6,466,79,72,72,79.0,205.66666666666666,104.55497409735189
det_LT_entropy_shannon_10_coef,467,421,91,91,421.0,326.3333333333333,193.47804192275112
tqwt_meanValue_dec_3,468,289,293,289,293.0,350.0,332.9659966447558
tqwt_stdValue_dec_25,469,179,465,179,465.0,371.0,303.9721261138264
tqwt_energy_dec_8,470,174,228,174,228.0,290.6666666666667,244.68321872867568
tqwt_energy_dec_3,471,59,126,59,126.0,218.66666666666666,111.07489769374743
tqwt_TKEO_std_dec_26,472,337,304,304,337.0,371.0,358.188562962963
tqwt_meanValue_dec_26,473,246,356,246,356.0,358.3333333333333,333.7711550754454
tqwt_maxValue_dec_33,474,183,335,183,335.0,330.6666666666667,284.11081453670846
tqwt_meanValue_dec_23,475,209,195,195,209.0,293.0,249.62229481420988
mean_delta_delta_log_energy,476,68,262,68,262.0,268.6666666666667,145.4650077760498
tqwt_entropy_shannon_dec_3,477,255,239,239,255.0,323.6666666666667,294.0569587602796
Ed_8_coef,478,574,537,478,537.0,529.6666666666666,526.6476809135276
tqwt_entropy_log_dec_25,479,32,56,32,56.0,189.0,58.599672310213
det_LT_entropy_shannon_8_coef,480,414,440,414,440.0,444.6666666666667,443.0320226996352
Ed2_8_coef,481,610,676,481,610.0,589.0,577.1854429900885
tqwt_kurtosisValue_dec_13,482,437,431,431,437.0,450.0,448.88649680331883
det_LT_entropy_shannon_4_coef,483,144,213,144,213.0,280.0,218.82359197057653
det_LT_TKEO_mean_9_coef,484,400,98,98,400.0,327.3333333333333,203.11170744240488
std_MFCC_0th_coef,485,282,346,282,346.0,371.0,353.01890827348865
det_LT_entropy_shannon_9_coef,486,409,378,378,409.0,424.3333333333333,419.6917353710034
tqwt_meanValue_dec_6,487,153,377,153,377.0,339.0,266.8598566773594
tqwt_minValue_dec_4,488,568,713,488,568.0,589.6666666666666,575.5651579634059
tqwt_medianValue_dec_11,489,292,290,290,292.0,357.0,336.4011936806417
mean_MFCC_4th_coef,490,252,106,106,252.0,282.6666666666667,194.26236320820058
tqwt_medianValue_dec_19,491,238,232,232,238.0,320.3333333333333,284.39562775800215
tqwt_minValue_dec_19,492,198,36,36,198.0,242.0,86.0565371024735
tqwt_skewnessValue_dec_32,493,470,523,470,493.0,495.3333333333333,494.3884415639164
tqwt_energy_dec_2,494,665,560,494,560.0,573.0,564.5714285714286
tqwt_TKEO_std_dec_5,495,402,32,32,402.0,309.6666666666667,83.89786292128909
det_entropy_log_4_coef,496,710,630,496,630.0,612.0,598.5776210946634
tqwt_kurtosisValue_dec_24,497,51,77,51,77.0,208.33333333333334,86.68784329982381
tqwt_TKEO_std_dec_34,498,335,243,243,335.0,358.6666666666667,329.36871866951566
tqwt_meanValue_dec_36,499,287,192,192,287.0,326.0,280.46132766680836
tqwt_energy_dec_21,500,41,20,20,41.0,187.0,39.27203065134099
det_LT_TKEO_std_7_coef,501,657,563,501,563.0,573.6666666666666,566.6496176273633
det_LT_TKEO_std_4_coef,502,391,352,352,391.0,415.0,405.9273116106365
tqwt_medianValue_dec_4,503,205,264,205,264.0,324.0,281.58440421064245
tqwt_energy_dec_10,504,481,491,481,491.0,492.0,491.8202955958125
tqwt_medianValue_dec_1,505,8,199,8,199.0,237.33333333333334,22.726356158187834
f3,506,286,336,286,336.0,376.0,355.07250722930274
std_delta_delta_0th,507,178,31,31,178.0,238.66666666666666,75.28527731182893
tqwt_TKEO_mean_dec_3,508,270,395,270,395.0,391.0,365.68182329516054
det_TKEO_std_2_coef,509,679,736,509,679.0,641.3333333333334,625.5100194347608
GQ_prc5_95,510,521,209,209,510.0,413.3333333333333,346.2260567053694
tqwt_minValue_dec_28,511,585,562,511,562.0,552.6666666666666,550.8925255250101
IMF_SNR_TKEO,512,500,177,177,500.0,396.3333333333333,312.4074976328587
tqwt_TKEO_std_dec_21,513,372,315,315,372.0,400.0,384.0200080492152
det_entropy_shannon_7_coef,514,708,573,514,573.0,598.3333333333334,587.871578152047
tqwt_energy_dec_22,515,460,487,460,487.0,487.3333333333333,486.29864062664655
